theta,H,SE,CC,KK,Kuramoto
-1,0.71541174,0.249411945,-0.55979673,0.997738846,0.864507444
-0.959183673,0.669067787,0.290078672,-0.620624571,0.998626461,0.844556238
-0.918367347,0.617764619,0.363461996,-0.703680186,0.997074143,0.810715276
-0.87755102,0.332505621,0.474427242,-0.809674934,0.993574721,0.741725021
-0.836734694,0.296940587,0.395086986,-0.886237284,0.962742346,0.666206259
-0.795918367,0.14951047,0.339337324,-0.914849309,0.898198705,0.655069867
-0.755102041,0.050548256,0.158613969,-0.921799791,0.333947587,0.712728559
-0.714285714,0.033626204,0.130768188,-0.940927563,0.278266986,0.695686815
-0.673469388,-0.05298972,0.131582443,-0.953942981,0.340542331,0.687538947
-0.632653061,-0.034088956,0.135034862,-0.962635185,0.307187538,0.684203519
-0.591836735,0.038619149,0.137526088,-0.9692987,0.209826876,0.684358802
-0.551020408,0.021231559,0.140761539,-0.974882508,0.192018982,0.685675693
-0.510204082,0.00557644,0.146873615,-0.979387621,0.225991316,0.690673234
-0.469387755,-0.010788917,0.147981939,-0.983013522,0.22009385,0.694656198
-0.428571429,0.02615677,0.154207723,-0.986142677,0.21419509,0.701082335
-0.387755102,0.008161298,0.161353127,-0.988708499,0.18423193,0.70750658
-0.346938776,0.024826305,0.16828901,-0.990847178,0.172442215,0.715661902
-0.306122449,0.013544726,0.17247965,-0.992725483,0.177593136,0.74121353
-0.265306122,-0.015010911,0.17844591,-0.994249293,0.156912656,0.7749425
-0.224489796,0.048977846,0.184605216,-0.995511035,0.147820762,0.805734654
-0.183673469,0.096120745,0.188132559,-0.996496453,0.143555579,0.833101468
-0.142857143,0.00728726,0.192482613,-0.997336013,0.138894195,0.858010786
-0.102040816,0.152236446,0.199971309,-0.998015453,0.138265887,0.879843338
-0.06122449,-0.064439683,0.203634885,-0.998594584,0.126245902,0.898596807
-0.020408163,0.050031483,0.208440964,-0.999024194,0.126428434,0.912774394
0.020408163,0.118553266,0.217595338,-0.999388117,0.455886952,0.924316856
0.06122449,0.07856143,0.223817737,-0.999626296,0.38844508,0.926839195
0.102040816,-0.00224796,0.232209743,-0.999176855,0.309390359,0.913804949
0.142857143,0.869110247,0.159947322,0.411329675,0.278641396,0.987683767
0.183673469,0.999078248,0.080250365,0.983258444,0.228039215,0.999262922
0.224489796,0.884955836,0.014666524,0.999999928,0.165954246,0.999850653
0.265306122,0.887989037,0.015697102,0.999999974,0.168844078,0.999461843
0.306122449,0.883290229,0.01446543,0.99999998,0.165125809,0.999719594
0.346938776,0.885127948,0.014968038,0.999999987,0.165714745,0.999704671
0.387755102,0.886234579,0.015059594,0.999999989,0.168422413,0.999903048
0.428571429,0.883686992,0.014754302,0.999999991,0.165123307,0.999732442
0.469387755,0.883180872,0.014500986,0.99999999,0.165289432,0.999753028
0.510204082,0.897860856,0.014756494,0.999999991,0.165122538,0.999754292
0.551020408,0.885156039,0.014675513,0.999999991,0.165877264,0.999952295
0.591836735,0.885891716,0.014872513,0.999999989,0.165429217,0.999765644
0.632653061,0.884330564,0.01462686,0.999999978,0.165179993,0.999777636
0.673469388,0.899184925,0.014893282,0.999999985,0.165610635,0.999735843
0.714285714,0.885714421,0.014798555,0.999999985,0.165187812,0.999741994
0.755102041,0.884026508,0.014791537,0.99999998,0.165198175,0.999873831
0.795918367,0.884687894,0.014820674,0.999999973,0.16650182,0.999701758
0.836734694,0.885108033,0.014641178,0.999999992,0.165786048,0.999978682
0.87755102,0.896498136,0.017025888,0.999769799,0.16989551,0.99977729
0.918367347,0.886524368,0.014781403,0.999999979,0.165042954,0.999835207
0.959183673,0.884648919,0.014653001,0.999999991,0.165984574,0.999970829
1,0.883836004,0.01456969,0.999999988,0.165156589,0.999848728
